account_status,account_id,account_name,campaign_id,campaign_name,campaign_budget_remaining,campaign_daily_budget,campaign_end_date,campaign_lifetime_budget,campaign_start_date,campaign_buying_type,campaign_configured_status,campaign_objective,campaign_spend_cap,campaign_status,currency,data_source_name,date,platform_position,publisher_platform,spend_cap,cost,cost_eur,cost_gbp,cost_usd,reach,store_visits_point_estimate
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,facebook,0.0,75.98,70.8934,60.5948,75.98,21831,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,instagram,0.0,2.04,1.9034,1.6269,2.04,467,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_explore,instagram,0.0,0.02,0.0187,0.016,0.02,16,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_reels,instagram,0.0,0.11,0.1026,0.0877,0.11,26,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_stories,instagram,0.0,3.44,3.2097,2.7434,3.44,1336,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instream_video,facebook,0.0,2.57,2.3979,2.0496,2.57,2816,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,marketplace,facebook,0.0,0.27,0.2519,0.2153,0.27,249,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,messenger_inbox,messenger,0.0,2.26,2.1087,1.8024,2.26,3148,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,messenger_stories,messenger,0.0,0.06,0.056,0.0479,0.06,21,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,right_hand_column,facebook,0.0,0.88,0.8211,0.7018,0.88,3312,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,search,facebook,0.0,11.58,10.8048,9.2352,11.58,2240,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846901952010009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_GEO,68.88,165.0,2022-06-30,,2021-02-12,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,video_feeds,facebook,0.0,14.24,13.2867,11.3565,14.24,6024,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,an_classic,audience_network,0.0,46.561,43.4439,37.1329,46.561,8640,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,facebook_stories,facebook,0.0,62.6313,58.4384,49.9491,62.6313,12288,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,facebook,0.0,527.4911,492.1774,420.6797,527.4911,108798,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,instagram,0.0,67.1014,62.6092,53.5141,67.1014,11776,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_explore,instagram,0.0,1.14,1.0637,0.9092,1.14,549,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_reels,instagram,0.0,0.61,0.5692,0.4865,0.61,153,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_stories,instagram,0.0,46.541,43.4252,37.1169,46.541,13952,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instream_video,facebook,0.0,13.0003,12.1299,10.3679,13.0003,5952,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,marketplace,facebook,0.0,1.44,1.3436,1.1484,1.44,1024,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23847347219100009,CLARO_CLAH_B2S I_CONV_CON_FBME_01AGO21_31AGO21_4841_48414300743598001_ABIERTO,493.58,1165.0,2022-06-30,,2021-04-13,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,messenger_inbox,messenger,0.0,13.2503,12.3632,10.5672,13.2503,11005,
