account_name,ad_group_id,ad_group_name,ad_group_status,campaign_name,campaign_status,creative_quality_score,currency,data_source_name,date,keyword,keyword_destination_url,keyword_id,keyword_labels,keyword_status,match_type,network,network_with_search_partners,post_click_quality_score,account_id,quality_score,average_position,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,interactions,view_through_conversions
Tienda,139124896008,TIENDA NEGOCIOS_VARSEG_CPL_NA_INTERNET EMPRESARIAL_01FEB22_31DIC22_TVG_123431,enabled,CLARO_CLAN_TIENDA NEGOCIOS_CONV_CON_SEARCH_01ENE21_31DIC22_TVG_6454_ 64544300743634001,enabled,Above average,USD,Google Ads,2022-04-19,internet empresarial,,296804764045,,enabled,Phrase,Search Network,Google search,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,140583095251,CYBERDAY MARZO_VARSEG_CPC_NA_GENERICS CYBER_28MAR22_30MAR22_125711,enabled,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,Below average,USD,Google Ads,2022-04-19,cyber days 2021,,1189065954909,,enabled,Broad,Search Network,Google search,Average,9464343309,3,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,140583095491,CYBERDAY MARZO_VARSEG_CPC_NA_GENERICS CYBER WOW OFERTAS_28MAR22_30MAR22_125706,enabled,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,Above average,USD,Google Ads,2022-04-19,cyber wow ofertas,,557212977070,,enabled,Broad,Search Network,Search partners,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0
Tienda,140583095491,CYBERDAY MARZO_VARSEG_CPC_NA_GENERICS CYBER WOW OFERTAS_28MAR22_30MAR22_125706,enabled,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,Above average,USD,Google Ads,2022-04-19,cyber wow ofertas,,558542901822,,enabled,Exact,Search Network,Google search,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0
Tienda,140583095491,CYBERDAY MARZO_VARSEG_CPC_NA_GENERICS CYBER WOW OFERTAS_28MAR22_30MAR22_125706,enabled,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,Above average,USD,Google Ads,2022-04-19,cyber wow ofertas,,666113709256,,enabled,Phrase,Search Network,Search partners,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0
Tienda,140583095651,CYBERDAY MARZO_VARSEG_CPC_NA_GENERICS CYBER WOW_28MAR22_30MAR22_125708,enabled,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,Above average,USD,Google Ads,2022-04-19,cyber wow,,466572898302,,enabled,Phrase,Search Network,Search partners,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,0,0.0
Tienda,140583095651,CYBERDAY MARZO_VARSEG_CPC_NA_GENERICS CYBER WOW_28MAR22_30MAR22_125708,enabled,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,Above average,USD,Google Ads,2022-04-19,cyber wow,,466963207893,,enabled,Exact,Search Network,Search partners,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0.0
Tienda,140583095651,CYBERDAY MARZO_VARSEG_CPC_NA_GENERICS CYBER WOW_28MAR22_30MAR22_125708,enabled,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,Above average,USD,Google Ads,2022-04-19,cyber wow,,468603822680,,enabled,Broad,Search Network,Search partners,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0
Postpago,138263346224,AON POSTPAGO_ABI_LEA_MBDS_ATEX_01OCT20_31DIC20_COMPETENCIA ENTEL PORTABILIDAD_,enabled,PER_HMLIM_CLA_PSPG_AON_CAMPAÑA PORTABILIDAD_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_01OCT20_31DIC21_HM 15-65 ABC_55127_55407_55641 - Migracion,enabled,Below average,USD,Google Ads,2022-04-19,entel portabilidad,,314560057631,,enabled,Broad,Search Network,Google search,Average,5877113422,5,,2,0.0,0.0,0.33,0.3061,0.2537,0.33,0,61,2,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Average,USD,Google Ads,2022-04-19,audifonos inalambricos precio,,303742967928,,enabled,Broad,Search Network,Google search,Average,9464343309,7,,1,0.0,0.0,0.33,0.3061,0.2537,0.33,0,15,1,0.0
Tienda,132202693620,Equipos,enabled,CLARO_CLAN_TIENDA NEGOCIOS_CONV_CON_SEARCH_01ENE21_31DIC22_TVC_6454_ 645443007436340011,enabled,Below average,USD,Google Ads,2022-04-19,equipos empresas entel,,906280277704,,enabled,Broad,Search Network,Google search,Average,9464343309,6,,1,0.0,0.0,0.27,0.2504,0.2075,0.27,0,10,1,0.0
Fijos,125918128523,AON FIJOS_GENE_CPL_NA_INTERNET MODEM_01AGO21_31AGO21_116674,enabled,CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634002_GENERICO_NUEVO,enabled,Below average,USD,Google Ads,2022-04-19,módem wifi,,297237976282,,enabled,Broad,Search Network,Google search,Average,5130185605,5,,1,0.0,0.0,0.23,0.2133,0.1768,0.23,0,3,1,0.0
Postpago,138263346224,AON POSTPAGO_ABI_LEA_MBDS_ATEX_01OCT20_31DIC20_COMPETENCIA ENTEL PORTABILIDAD_,enabled,PER_HMLIM_CLA_PSPG_AON_CAMPAÑA PORTABILIDAD_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_01OCT20_31DIC21_HM 15-65 ABC_55127_55407_55641 - Migracion,enabled,Below average,USD,Google Ads,2022-04-19,portabilidad entel,,504801816152,,enabled,Broad,Search Network,Google search,Average,5877113422,5,,1,0.0,0.0,0.23,0.2133,0.1768,0.23,0,25,1,0.0
Postpago,135055478281,CLARO MAX_GENE_CPL_NA_INTERNET ILIMITADO_19MAR21_31DIC21_92952,enabled,CLARO_CLAG_CLARO MAX_CONV_CON_SEARCH_19MAR21_31DIC21_1039_10394300743634002_GE - Migracion,enabled,Above average,USD,Google Ads,2022-04-19,internet ilimitado celular,,298525471425,,enabled,Broad,Search Network,Google search,Average,5877113422,8,,1,0.0,0.0,0.08,0.0742,0.0615,0.08,0,4,1,0.0
Postpago,138263347104,AON POSTPAGO_ABI_LEA_MBDS_ATEX_01OCT20_31DIC20_COMPETENCIA PORTABILIDAD NUMERICA ENTEL_,enabled,PER_HMLIM_CLA_PSPG_AON_CAMPAÑA PORTABILIDAD_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_01OCT20_31DIC21_HM 15-65 ABC_55127_55407_55641 - Migracion,enabled,Below average,USD,Google Ads,2022-04-19,portabilidad numerica entel,,320122699083,,enabled,Broad,Search Network,Google search,Average,5877113422,3,,1,0.0,0.0,0.16,0.1484,0.123,0.16,0,17,1,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Below average,USD,Google Ads,2022-04-19,audifonos inalambricos iphone,,297571705149,,enabled,Broad,Search Network,Google search,Average,9464343309,5,,1,0.0,0.0,0.1,0.0927,0.0769,0.1,0,9,1,0.0
Fijos,106282706575,AON FIJOS_GENE_CPL_NA_TELEVISION CABLE_01AGO21_31AGO21_116661,enabled,CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634001_GENERICO,enabled,Above average,USD,Google Ads,2022-04-19,television cable peru,,1204100385341,,enabled,Broad,Search Network,Search partners,Average,5130185605,7,,1,0.0,0.0,0.2,0.1855,0.1537,0.2,0,7,1,0.0
Fijos,118312395048,AO FC_COMP_CPC_NA_PLANES MOVISTAR TOTAL_01AGO21_31AGO21_116742,enabled,CLARO_FCLAR_AO FC_CONS_TRF_SEARCH_01AGO21_31AGO21_4526_45264300943634002_COMPETENCIA,enabled,Below average,USD,Google Ads,2022-04-19,planes movistar total,,988148345983,,enabled,Broad,Search Network,Google search,Average,5130185605,3,,1,0.0,0.0,0.4,0.371,0.3075,0.4,0,4,1,0.0
Tienda,102686981917,AON POSTPAGO_ABI_LEA_MBDS_ATEX_15JUN20_31DIC20_COMPETENCIA ENTEL TIENDA VIRTUAL_,enabled,PER_HMLIM_CLA_CTV_AON_AON POSTPAGO_112613_NN_900001494_DO_SUB_SEA_GAD_GG_LDG_CPL_CO_15JUN20_31DIC21_POSTPAGO ENTEL_Pacingtm  TVIRTUAL,enabled,Below average,USD,Google Ads,2022-04-19,online entel,,325790965135,,enabled,Broad,Search Network,Google search,Average,9464343309,6,,3,0.0,0.0,0.4,0.371,0.3075,0.4,0,67,3,0.0
