account_name,advertising_channel_sub_type,advertising_channel_type,bidding_strategy,bidding_strategy_id,bidding_strategy_type,campaign_id,campaign_labels,campaign_name,campaign_status,currency,data_source_name,date,account_id,daily_budget,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,impression_share,interactions,search_absolute_top_impression_share,search_budget_lost_impression_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,top_impression_percentage,total_budget,available_impressions,video_impressions,video_views,view_through_conversions
Tienda,,Search,,,Maximize Conversions,15647479919,,CLARO_CLAN_TIENDA NEGOCIOS_CONV_CON_SEARCH_01ENE21_31DIC22_TVC_6454_ 645443007436340011,enabled,USD,Google Ads,2022-04-19,9464343309,86.66,70,0.0,0.0,14.3909,13.3474,11.0618,14.3909,0,2737,,70,,,,,0.0,,0.97,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,15647480585,,CLARO_CLAN_TIENDA NEGOCIOS_CONV_CON_SEARCH_01ENE21_31DIC22_TVG_6454_ 64544300743634001,enabled,USD,Google Ads,2022-04-19,9464343309,242.0,83,0.0,0.0,48.76,45.2244,37.4803,48.76,0,426,,83,,,,,0.0,,0.94,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,15650644015,"[""PRP_TV""]",CLARO_CLAT_AON PREPAGO_CONV_CON_SEARCH_01ENE21_31DIC21_4675_46754300743634001_pacing - Migracion TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,170.0,366,0.0,0.0,52.16,48.3779,40.0938,52.16,0,2033,,366,,,,,0.0,,0.95,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,15650650279,"[""PRP_TV""]",CLARO_CLAT_AON PREPAGO_CONV_CON_SEARCH_01ENE21_31DIC21_4675_46754300743634002_pacingtm - Migracion TVIRTUAL,enabled,USD,Google Ads,2022-04-19,9464343309,328.0,184,0.0,0.0,30.48,28.2699,23.4291,30.48,0,1035,,184,,,,,0.0,,0.98,,0,,0,0.0
Tienda,,Search,,,Maximize Conversions,16279335808,,CLARO_CLAG_ACTIVA TU CHIP_CONS_TRF_SEARCH_01ENE21_31DIC21_4661_46614300943634004,enabled,USD,Google Ads,2022-04-19,9464343309,66.0,66,2.0,0.0,12.27,11.3803,9.4316,12.27,0,257,,66,,,,,0.0,,0.92,,0,,0,0.0
Tienda,,Search,,,Maximize clicks,16656763174,,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634002_BR,enabled,USD,Google Ads,2022-04-19,9464343309,84.16,280,0.0,0.0,49.59,45.9942,38.1183,49.59,0,578,,280,,,,,0.0,,1.0,,0,,0,0.0
Tienda,,Search,,,Maximize clicks,16656763177,,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_SEARCH_16ABR22_22ABR22_7126_71264300943634001_GE,enabled,USD,Google Ads,2022-04-19,9464343309,155.82,354,0.0,0.0,48.95,45.4006,37.6264,48.95,0,4813,,354,,,,,0.0,,0.85,,0,,0,0.0
Empresas,,Display,,,Maximize clicks,16720555330,,CLARO_CLAN_CLARO NEGOCIOS AON_EQU_CONS_TRF_DISME_28MAR22_30ABR22_6858_68584300943591001,enabled,USD,Google Ads,2022-04-19,9205094647,79.16,517,0.0,0.0,5.1969,4.82,3.9947,5.1969,0,18504,,517,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Fijos,,Display,,,Maximize Conversions,13378658155,,CLARO_CLAH_B2S I _CONV_CON_DISME_03JUN21_30JUN21_1365_13654300743591001,enabled,USD,Google Ads,2022-04-19,5130185605,265.0,849,0.0,0.0,46.758,43.3675,35.9414,46.758,2,41573,,851,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Fijos,,Display,,,Maximize Conversions,15025403716,,CLARO_CLAH_B2S I _CONV_CON_DISME_20OCT21_31OCT21_3851_38514300743591001,enabled,USD,Google Ads,2022-04-19,5130185605,80.0,23,0.0,0.0,3.9518,3.6653,3.0376,3.9518,0,3799,,23,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Fijos,,Display,,,Maximize Conversions,15591286750,,CLARO_CLAH_B2S I _CONV_CON_DISME_09AGO21_31AGO21_2286_22864300743591001_B2S2021_FIJOS MIGRACION,enabled,USD,Google Ads,2022-04-19,5130185605,333.0,2343,1.0,24.09,105.5463,97.8931,81.1302,105.5463,1,104661,,2344,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Fijos,,Display,,,Maximize Conversions,15591286756,,CLARO_CLAH_FIBRA OPTICA _CONV_CON_DISME_21JUL21_31JUL21_2026_20264300743591001_FIJOS MIGRACION,enabled,USD,Google Ads,2022-04-19,5130185605,292.0,4951,0.0,0.0,337.9418,313.4375,259.7656,337.9418,6,282800,,4957,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Prepago,,Display,,,Maximize Conversions,16790162836,,CLARO_CLAP_RECARGA VIBRAS_EQU_CONS_TRF_DISME_01ABR22_30ABR22_7079_70794300943591001,enabled,USD,Google Ads,2022-04-19,8724931293,110.0,505,0.0,0.0,15.4071,14.2899,11.8429,15.4071,0,29497,,505,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,,Display,,,Maximize Conversions,15641093406,,CLARO_CLAT_REMARKETING_RESPONSIVE DINAMICO TIENDACLARO SAMSUNG_CONV_CON_DISME_22DIC21_31DIC21_2250_22504300743591001_tvirtual,enabled,USD,Google Ads,2022-04-19,9464343309,40.0,139,0.0,0.0,14.4379,13.391,11.098,14.4379,0,11627,,139,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
